Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
07/16/2021,155,1,9,23,42,48,14,18,6,3,1,0,79,75,1,24,8,41,57,1,24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,3,0,1,0,5,4,0,2,0,7,0,0,0
12/30/2020,1444,23,62,191,369,274,198,200,138,52,22,0,760,673,11,550,37,285,346,59,167,0,0,0,4,6,4,5,4,0,5,18,0,13,1,5,3,1,0,1,1,5,6,10,15,15,9,0,30,32,0,24,1,22,12,2,1
11/19/2020,2168,17,119,250,525,457,358,279,187,83,29,0,1118,1046,4,885,59,350,493,90,291,0,0,0,0,0,7,5,5,0,7,10,0,3,1,5,7,1,0,4,4,10,17,20,21,26,17,0,56,63,0,37,5,40,29,5,3
01/30/2021,419,12,35,76,84,78,52,54,44,20,11,0,221,198,0,161,17,83,107,14,37,0,1,0,0,2,3,3,3,0,1,11,0,6,0,4,2,0,0,0,2,4,5,4,8,7,5,0,12,23,0,12,0,16,7,0,0
02/16/2021,213,5,33,24,65,30,43,22,17,8,4,0,113,99,1,49,11,41,79,10,23,0,0,0,0,0,1,3,1,0,1,4,0,2,0,2,1,0,0,0,2,3,3,7,7,6,5,0,23,10,0,6,0,16,9,2,0
04/02/2022,204,0,6,37,42,48,34,20,12,11,0,0,115,85,4,14,20,17,95,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,3,3,0,1,0,3,2,0,0
06/20/2020,125,10,20,18,32,18,21,19,5,9,3,0,65,60,0,70,1,17,19,6,12,0,0,1,0,2,2,1,4,0,3,7,0,8,0,1,1,0,0,3,3,3,1,3,3,1,3,0,11,9,0,11,0,6,2,1,0
04/07/2022,510,3,7,105,116,124,76,47,24,14,3,1,280,229,1,83,48,60,204,34,81,0,0,0,0,2,1,0,0,0,2,1,0,1,0,1,1,0,0,0,1,1,0,1,2,1,1,0,4,3,0,2,0,2,3,0,0
09/14/2020,430,3,19,62,108,91,66,59,27,9,8,0,226,203,1,208,11,65,111,9,26,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,1,3,1,3,3,3,3,2,0,7,12,0,7,0,7,4,0,1
04/04/2021,308,5,41,46,70,68,60,35,16,8,5,0,155,152,1,76,22,83,93,8,26,0,0,0,1,2,0,1,1,0,1,4,0,1,0,3,1,0,0,0,3,10,6,7,6,3,6,0,25,16,0,9,2,25,5,0,0
06/27/2021,15,1,1,4,2,4,1,0,1,3,0,0,9,6,0,3,1,6,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
09/28/2021,384,4,21,84,84,86,40,39,31,12,8,0,213,171,0,63,15,115,129,24,38,0,0,0,0,0,0,1,3,0,3,1,0,0,0,1,3,0,0,1,1,3,3,3,5,1,4,0,13,8,0,3,1,11,4,1,1
