Sport,Season,Type,Location,Opponent,Conference,Day,Month,Outcome,ScoreFor,ScoreAgainst,Length,StreakBeforeMatch,Attend
WSOC,2019,RS,A,IllinoisState,MVC,Sun,10,W,4,1,FT,W7,N
WSOC,2019,RS,H,IndianaState,MVC,Sat,10,W,2,1,FT,W8,N
WSOC,2019,RS,A,Evansville,MVC,Thu,10,W,2,0,FT,W9,N
WSOC,2019,CT,N,Drake,MVC,Fri,11,W,1,0,FT,W10,N
WSOC,2019,CT,N,IllinoisState,MVC,Sun,11,W,2,0,FT,W11,N
WSOC,2019,NCAA,A,Hofstra,CAA,Sat,11,L,0,1,ET,W12,N
WSOC,2020,RS,A,MissouriState,MVC,Sun,2,D,0,0,2ET,L1,N
WSOC,2020,RS,H,Drake,MVC,Fri,3,W,2,0,FT,D1,N
WSOC,2020,RS,A,NorthernIowa,MVC,Wed,3,W,1,0,FT,W1,N
WSOC,2020,RS,A,Valparaiso,MVC,Sat,3,W,1,0,FT,W2,N
WSOC,2020,RS,H,IllinoisState,MVC,Sun,3,W,3,2,FT,W3,N
WSOC,2020,RS,A,IndianaState,MVC,Wed,3,W,5,1,FT,W4,N
WSOC,2020,RS,H,SouthernIllinois,MVC,Sun,3,W,5,0,FT,W5,N
WSOC,2020,RS,H,Evansville,MVC,Sat,4,L,0,1,FT,W6,N
WSOC,2020,CT,H,IllinoisState,MVC,Wed,4,W,2,1,2ET,L1,N
WSOC,2020,CT,H,Valparaiso,MVC,Sun,4,W,1,0,FT,W1,N
WSOC,2020,NCAA,N,Denver,Summit,Tue,4,L,1,3,FT,W2,N
WSOC,2021,RS,A,MiamiOH,MAC,Thu,8,W,2,1,FT,L1,N
WSOC,2021,RS,H,SIUE,OVC,Sun,8,W,3,0,FT,W1,N
WSOC,2021,RS,A,FloridaAtlantic,CUSA,Fri,8,W,2,0,FT,W2,N
WSOC,2021,RS,H,Wisconsin,B1G,Thu,9,D,0,0,FT,W3,N
WSOC,2021,RS,A,Nebraska,B1G,Sun,9,L,0,3,FT,D1,N
WSOC,2021,RS,A,DePaul,BE,Thu,9,W,1,0,FT,L1,N
WSOC,2021,RS,A,Xavier,BE,Sun,9,L,1,2,FT,W1,N
WSOC,2021,RS,H,IndianaState,MVC,Sat,9,W,2,1,FT,L1,N
WSOC,2021,RS,H,NorthernIowa,MVC,Sat,9,W,3,0,FT,W1,N
WSOC,2021,RS,A,Evansville,MVC,Wed,9,W,3,1,FT,W2,N
WSOC,2021,RS,A,Drake,MVC,Sun,10,W,4,1,FT,W3,N
WSOC,2021,RS,H,MissouriState,MVC,Sat,10,D,0,0,2ET,W4,N
WSOC,2021,RS,A,IllinoisState,MVC,Wed,10,W,2,0,FT,D1,N
WSOC,2021,RS,A,SouthernIllinois,MVC,Sun,10,W,5,0,FT,W1,N
WSOC,2021,RS,H,Valparaiso,MVC,Thu,10,W,5,0,FT,W2,N
WSOC,2021,CT,H,Drake,MVC,Fri,11,W,4,1,FT,W3,N
WSOC,2021,CT,H,Evansville,MVC,Sun,11,W,4,0,FT,W4,N
WSOC,2021,NCAA,A,Purdue,B1G,Sat,11,L,0,1,FT,W5,N
WSOC,2022,RS,A,SouthDakota,Summit,Thu,8,W,1,0,FT,L1,N
WSOC,2022,RS,H,MiamiOH,MAC,Sun,8,L,0,1,FT,W1,N
WSOC,2022,RS,A,Wisconsin,B1G,Thu,8,D,1,1,FT,L1,N
WSOC,2022,RS,A,SIUE,OVC,Sun,8,W,2,0,FT,D1,N
WSOC,2022,RS,H,Xavier,BE,Thu,9,L,0,1,FT,W1,Y
WSOC,2022,RS,A,WesternIllinois,Summit,Sun,9,W,4,1,FT,L1,N
WSOC,2022,RS,H,DePaul,BE,Thu,9,W,2,1,FT,W1,Y
WSOC,2022,RS,A,Illinois,B1G,Sun,9,D,1,1,FT,W2,N
WSOC,2022,RS,H,LaSalle,A10,Sun,9,W,1,0,FT,D1,Y
